source,end,CON,LAB,LDEM,UKIP,GRN,CON_LEAD
Opinium/Observer,2014-04-10,30,36,7,18.0,3.0,-6
YouGov/Sun,2014-04-09,33,36,10,14.0,2.0,-3
YouGov/Sun,2014-04-08,33,37,10,13.0,2.0,-4
Ipsos-MORI/Evening Standard,2014-04-07,31,37,9,15.0,3.0,-6
YouGov/Sun,2014-04-07,33,36,10,14.0,2.0,-3
Populus/,2014-04-06,34,37,9,14.0,3.0,-3
YouGov/Sunday Times,2014-04-04,34,39,9,12.0,2.0,-5
YouGov/Sun,2014-04-03,32,38,10,13.0,3.0,-6
YouGov/Sun,2014-04-02,32,38,10,13.0,2.0,-6
YouGov/Sun,2014-04-01,33,37,10,12.0,2.0,-4
YouGov/Sun,2014-03-31,34,37,11,13.0,2.0,-3
Populus/,2014-03-30,34,37,10,11.0,3.0,-3
Opinium/Observer,2014-03-28,32,33,10,15.0,3.0,-1
Populus/,2014-03-28,35,37,8,12.0,3.0,-2
YouGov/Sunday Times,2014-03-28,33,40,9,11.0,2.0,-7
YouGov/Sun,2014-03-27,35,36,10,11.0,3.0,-1
YouGov/Sun,2014-03-26,35,37,9,11.0,2.0,-2
YouGov/Sun,2014-03-25,35,38,10,10.0,2.0,-3
YouGov/Sun,2014-03-24,36,38,10,10.0,2.0,-2
Populus/,2014-03-23,34,35,10,13.0,2.0,-1
ComRes/Independent on Sunday,2014-03-23,31,36,9,11.0,5.0,-5
YouGov/Sunday Times,2014-03-21,36,37,9,11.0,2.0,-1
Survation/Mail on Sunday,2014-03-21,34,35,9,15.0,2.0,-1
Populus/,2014-03-20,34,38,9,12.0,2.0,-4
YouGov/Sun,2014-03-20,34,39,10,10.0,2.0,-5
YouGov/Sun,2014-03-19,33,38,11,11.0,3.0,-5
YouGov/Sun,2014-03-18,34,38,11,11.0,3.0,-4
YouGov/Sun,2014-03-17,32,40,9,11.0,3.0,-8
Populus/,2014-03-16,32,36,10,13.0,3.0,-4
YouGov/Sunday Times,2014-03-14,33,40,8,12.0,2.0,-7
ComRes/Independent on Sunday (O),2014-03-13,32,35,9,16.0,3.0,-3
Populus/,2014-03-13,34,35,10,13.0,2.0,-1
YouGov/Sun,2014-03-13,33,38,11,10.0,2.0,-5
Opinium/Observer,2014-03-12,30,35,10,16.0,3.0,-5
Ipsos-MORI/Evening Standard,2014-03-12,32,35,13,11.0,5.0,-3
YouGov/Sun,2014-03-12,35,37,9,13.0,2.0,-2
YouGov/Sun,2014-03-11,34,38,10,12.0,2.0,-4
ICM/Guardian,2014-03-11,35,38,12,9.0,3.0,-3
YouGov/Sun,2014-03-10,32,39,8,13.0,3.0,-7
Populus/,2014-03-09,34,38,9,12.0,3.0,-4
YouGov/Sunday Times,2014-03-07,32,39,10,14.0,2.0,-7
Populus/,2014-03-06,34,37,9,12.0,3.0,-3
YouGov/Sun,2014-03-06,31,40,9,13.0,3.0,-9
YouGov/Sun,2014-03-05,34,37,10,11.0,3.0,-3
YouGov/Sun,2014-03-04,34,38,9,13.0,2.0,-4
YouGov/Sun,2014-03-03,32,41,8,12.0,1.0,-9
Populus/,2014-03-02,34,37,10,12.0,3.0,-3
ComRes/Independent,2014-03-02,30,38,10,11.0,4.0,-8
YouGov/Sunday Times,2014-02-28,34,38,9,12.0,2.0,-4
Opinium/Observer,2014-02-28,29,34,10,19.0,3.0,-5
Populus/,2014-02-27,33,38,9,13.0,3.0,-5
YouGov/Sun,2014-02-27,34,39,8,12.0,3.0,-5
YouGov/Sun,2014-02-26,34,40,10,11.0,3.0,-6
YouGov/Sun,2014-02-25,33,39,10,11.0,3.0,-6
YouGov/Sun,2014-02-24,33,38,10,13.0,2.0,-5
Populus/,2014-02-23,32,37,10,15.0,2.0,-5
YouGov/Sunday Times,2014-02-21,32,39,8,12.0,2.0,-7
Populus/,2014-02-20,32,38,9,13.0,3.0,-6
YouGov/Sun,2014-02-20,34,39,9,12.0,2.0,-5
YouGov/Sun,2014-02-19,33,37,10,12.0,3.0,-4
YouGov/Sun,2014-02-18,33,40,8,12.0,3.0,-7
YouGov/Sun,2014-02-17,33,40,9,11.0,2.0,-7
Populus/,2014-02-16,33,38,10,13.0,3.0,-5
ComRes/Independent on Sunday (O),2014-02-16,32,37,9,15.0,2.0,-5
Opinium/Observer,2014-02-14,28,37,8,17.0,2.0,-9
YouGov/Sunday Times,2014-02-14,32,39,9,12.0,3.0,-7
Populus/,2014-02-13,32,38,9,14.0,3.0,-5
YouGov/Sun,2014-02-13,33,39,9,12.0,2.0,-6
YouGov/Sun,2014-02-12,32,39,8,13.0,2.0,-7
YouGov/Sun,2014-02-11,34,39,10,11.0,2.0,-5
YouGov/Sun,2014-02-10,33,39,10,12.0,2.0,-6
Populus/,2014-02-09,34,36,11,12.0,3.0,-2
ICM/Guardian,2014-02-09,34,38,10,11.0,3.0,-4
YouGov/Sunday Times,2014-02-07,35,39,10,10.0,3.0,-4
Populus/,2014-02-06,33,36,9,15.0,2.0,-3
YouGov/Sun,2014-02-06,32,38,10,14.0,2.0,-6
YouGov/Sun,2014-02-05,35,39,9,10.0,2.0,-4
YouGov/Sun,2014-02-04,33,39,8,13.0,3.0,-6
Ipsos-MORI/Evening Standard,2014-02-03,31,38,12,10.0,3.0,-7
YouGov/Sun,2014-02-03,33,38,11,11.0,1.0,-5
Populus/,2014-02-02,32,41,11,9.0,3.0,-9
Opinium/Observer,2014-01-31,29,36,8,17.0,4.0,-7
YouGov/Sunday Times,2014-01-31,34,39,8,11.0,3.0,-5
Populus/,2014-01-30,32,39,11,10.0,3.0,-7
YouGov/Sun,2014-01-30,32,42,8,12.0,2.0,-10
YouGov/Sun,2014-01-29,35,38,10,11.0,2.0,-3
YouGov/Sun,2014-01-28,34,37,9,12.0,3.0,-3
YouGov/Sun,2014-01-27,35,37,9,13.0,2.0,-2
ComRes/Independent,2014-01-26,32,33,9,14.0,5.0,-1
Populus/,2014-01-26,33,40,11,8.0,3.0,-7
YouGov/Sunday Times,2014-01-24,32,39,9,13.0,2.0,-7
Populus/,2014-01-23,32,40,11,9.0,3.0,-8
YouGov/Sun,2014-01-23,35,38,8,12.0,2.0,-3
YouGov/Sun,2014-01-22,32,40,8,12.0,3.0,-8
YouGov/Sun,2014-01-21,34,38,9,13.0,3.0,-4
YouGov/Sun,2014-01-20,32,40,11,12.0,2.0,-8
Populus/,2014-01-19,32,39,12,9.0,3.0,-7
YouGov/Sunday Times,2014-01-17,33,39,8,13.0,2.0,-6
Opinium/Observer,2014-01-16,30,36,8,17.0,3.0,-6
ComRes/Independent on Sunday (O),2014-01-16,30,35,8,19.0,3.0,-5
YouGov/Sun,2014-01-16,32,39,10,12.0,2.0,-7
Populus/,2014-01-16,33,40,13,9.0,2.0,-7
Survation/Sky News,2014-01-15,30,34,12,18.0,2.0,-4
YouGov/Sun,2014-01-15,33,39,10,12.0,2.0,-6
Ipsos-MORI/Evening Standard,2014-01-14,30,39,13,11.0,3.0,-9
YouGov/Sun,2014-01-14,34,37,9,13.0,2.0,-3
YouGov/Sun,2014-01-13,33,38,11,12.0,2.0,-5
ICM/Guardian,2014-01-12,32,35,14,10.0,3.0,-3
Populus/,2014-01-11,33,38,12,9.0,3.0,-5
YouGov/Sunday Times,2014-01-10,31,40,9,14.0,2.0,-9
Populus/,2014-01-09,33,40,11,8.0,3.0,-7
YouGov/Sun,2014-01-09,32,38,9,13.0,2.0,-6
YouGov/Sun,2014-01-08,32,38,9,13.0,3.0,-6
YouGov/Sun,2014-01-07,32,37,10,14.0,3.0,-5
YouGov/Sun,2014-01-06,32,40,9,12.0,2.0,-8
Survation/Mail on Sunday,2014-01-03,31,35,11,16.0,3.0,-4
Opinium/Observer,2014-01-02,30,37,8,17.0,3.0,-7
Populus/,2013-12-22,35,37,12,9.0,3.0,-2
YouGov/Sunday Times,2013-12-20,34,40,9,11.0,2.0,-6
Populus/,2013-12-19,32,40,12,8.0,3.0,-8
YouGov/Sun,2013-12-19,34,39,11,12.0,1.0,-5
YouGov/Sun,2013-12-18,34,38,10,11.0,2.0,-4
YouGov/Sun,2013-12-17,33,41,8,13.0,2.0,-8
YouGov/Sun,2013-12-16,36,38,8,11.0,2.0,-2
ComRes/Independent,2013-12-15,32,37,9,10.0,5.0,-5
Populus/,2013-12-15,33,40,13,8.0,2.0,-7
ComRes/Independent on Sunday (O),2013-12-13,29,36,8,18.0,4.0,-7
YouGov/Sunday Times,2013-12-13,32,38,9,13.0,2.0,-6
Opinium/Observer,2013-12-13,30,37,8,16.0,4.0,-7
Populus/,2013-12-12,33,38,13,9.0,3.0,-5
YouGov/Sun,2013-12-12,35,39,9,11.0,2.0,-4
YouGov/Sun,2013-12-11,33,39,9,13.0,2.0,-6
YouGov/Sun,2013-12-10,34,39,9,12.0,2.0,-5
Ipsos-MORI/Evening Standard,2013-12-09,33,37,9,10.0,4.0,-4
YouGov/Sun,2013-12-09,33,38,10,13.0,2.0,-5
Populus/,2013-12-08,33,41,11,7.0,3.0,-8
ICM/Guardian,2013-12-08,32,37,12,9.0,3.0,-5
YouGov/Sunday Times,2013-12-06,34,39,10,11.0,3.0,-5
Populus/,2013-12-05,34,38,13,7.0,3.0,-4
YouGov/Sun,2013-12-05,29,41,9,14.0,2.0,-12
YouGov/Sun,2013-12-04,34,40,10,10.0,3.0,-6
YouGov/Sun,2013-12-03,32,40,9,12.0,3.0,-8
YouGov/Sun,2013-12-02,32,38,10,12.0,2.0,-6
Populus/,2013-12-01,33,40,10,9.0,3.0,-7
Opinium/Observer,2013-11-29,28,35,8,19.0,4.0,-7
YouGov/Sunday Times,2013-11-29,30,38,10,15.0,2.0,-8
Populus/,2013-11-28,35,38,12,7.0,3.0,-3
YouGov/Sun,2013-11-28,33,39,8,14.0,2.0,-6
YouGov/Sun,2013-11-27,32,39,10,13.0,2.0,-7
YouGov/Sun,2013-11-26,32,39,10,12.0,3.0,-7
YouGov/Sun,2013-11-25,32,40,10,12.0,2.0,-8
Populus/,2013-11-24,34,39,12,7.0,3.0,-5
ComRes/Independent,2013-11-24,32,37,9,11.0,3.0,-5
Survation/Daily Star,2013-11-22,29,36,10,18.0,3.0,-7
YouGov/Sunday Times,2013-11-22,33,40,9,11.0,2.0,-7
Populus/,2013-11-21,33,38,11,11.0,2.0,-5
YouGov/Sun,2013-11-21,32,39,10,12.0,2.0,-7
YouGov/Sun,2013-11-20,32,40,9,12.0,3.0,-8
YouGov/Sun,2013-11-19,34,38,10,11.0,2.0,-4
YouGov/Sun,2013-11-18,32,39,11,12.0,2.0,-7
Populus/,2013-11-17,32,41,10,9.0,3.0,-9
ComRes/Independent on Sunday (O),2013-11-15,29,35,10,17.0,5.0,-6
YouGov/Sunday Times,2013-11-15,33,39,10,12.0,2.0,-6
Opinium/Observer,2013-11-14,28,37,9,16.0,4.0,-9
Populus/,2013-11-14,31,40,11,10.0,3.0,-9
YouGov/Sun,2013-11-14,32,40,10,13.0,2.0,-8
YouGov/Sun,2013-11-13,31,39,9,13.0,2.0,-8
YouGov/Sun,2013-11-12,32,42,8,10.0,3.0,-10
YouGov/Sun,2013-11-11,33,40,9,11.0,3.0,-7
Ipsos-MORI/Evening Standard,2013-11-11,32,38,8,8.0,7.0,-6
TNS BMRB/,2013-11-11,30,38,8,12.0,4.0,-8
Populus/,2013-11-10,31,39,11,10.0,3.0,-8
ICM/Guardian,2013-11-10,30,38,13,11.0,3.0,-8
YouGov/Sunday Times,2013-11-08,34,39,10,11.0,2.0,-5
Populus/,2013-11-07,32,39,12,9.0,3.0,-7
YouGov/Sun,2013-11-07,33,39,10,11.0,2.0,-6
YouGov/Sun,2013-11-06,33,40,9,12.0,3.0,-7
YouGov/Sun,2013-11-05,34,40,8,11.0,2.0,-6
YouGov/Sun,2013-11-04,33,40,9,12.0,2.0,-7
Populus/,2013-11-03,34,39,10,10.0,3.0,-5
Opinium/Observer,2013-11-01,31,37,7,16.0,3.0,-6
YouGov/Sunday Times,2013-11-01,32,41,8,12.0,2.0,-9
Populus/,2013-10-31,33,40,11,9.0,2.0,-7
YouGov/Sun,2013-10-31,35,39,9,10.0,2.0,-4
YouGov/Sun,2013-10-30,33,40,8,11.0,2.0,-7
YouGov/Sun,2013-10-29,33,39,10,11.0,2.0,-6
YouGov/Sun,2013-10-28,31,40,9,12.0,3.0,-9
Populus/,2013-10-27,33,38,12,9.0,3.0,-5
ComRes/Independent,2013-10-27,28,36,11,12.0,5.0,-8
Survation/Mail on Sunday,2013-10-25,29,35,12,17.0,2.0,-6
YouGov/Sunday Times,2013-10-25,33,39,9,12.0,3.0,-6
Populus/,2013-10-24,34,39,11,10.0,3.0,-5
YouGov/Sun,2013-10-24,32,38,10,13.0,3.0,-6
YouGov/Sun,2013-10-23,32,39,9,11.0,3.0,-7
YouGov/Sun,2013-10-22,32,40,10,13.0,2.0,-8
YouGov/Sun,2013-10-21,33,38,9,13.0,2.0,-5
Survation/Free Speech Network,2013-10-21,29,37,10,16.0,3.0,-8
Populus/,2013-10-19,34,37,14,8.0,3.0,-3
Opinium/Observer,2013-10-18,27,38,9,17.0,4.0,-11
ComRes/Independent on Sunday (O),2013-10-18,32,35,9,16.0,3.0,-3
YouGov/Sunday Times,2013-10-18,33,39,10,11.0,2.0,-6
Populus/,2013-10-17,33,39,12,9.0,2.0,-6
YouGov/Sun,2013-10-17,34,40,9,11.0,2.0,-6
YouGov/Sun,2013-10-16,35,39,8,12.0,2.0,-4
Ipsos-MORI/Evening Standard,2013-10-15,35,35,9,10.0,4.0,0
YouGov/Sun,2013-10-15,34,39,9,11.0,2.0,-5
YouGov/Sun,2013-10-14,37,38,10,10.0,2.0,-1
TNS BMRB/,2013-10-14,34,36,9,13.0,3.0,-2
Populus/,2013-10-13,34,39,12,8.0,3.0,-5
ICM/Guardian,2013-10-13,34,38,12,8.0,3.0,-4
Survation/Mail on Sunday,2013-10-11,27,37,11,18.0,2.0,-10
YouGov/Sunday Times,2013-10-11,34,39,9,11.0,3.0,-5
Populus/,2013-10-10,34,39,12,8.0,3.0,-5
YouGov/Sun,2013-10-10,33,40,10,11.0,2.0,-7
YouGov/Sun,2013-10-09,32,38,11,13.0,3.0,-6
YouGov/Sun,2013-10-08,33,39,10,10.0,3.0,-6
YouGov/Sun,2013-10-07,35,39,9,10.0,3.0,-4
Populus/,2013-10-06,33,40,10,10.0,3.0,-7
Opinium/Observer,2013-10-04,31,36,7,15.0,4.0,-5
YouGov/Sunday Times,2013-10-04,33,38,11,13.0,2.0,-5
Populus/,2013-10-03,33,38,11,10.0,3.0,-5
YouGov/Sun,2013-10-03,35,38,9,10.0,2.0,-3
YouGov/Sun,2013-10-02,34,40,9,10.0,3.0,-6
YouGov/Sun,2013-10-01,31,41,8,12.0,2.0,-10
YouGov/Sun,2013-09-30,33,39,11,13.0,2.0,-6
Populus/,2013-09-29,36,39,11,7.0,3.0,-3
ComRes/Independent,2013-09-29,33,37,11,11.0,3.0,-4
YouGov/Sunday Times,2013-09-27,31,42,9,13.0,2.0,-11
Populus/,2013-09-26,34,37,12,9.0,2.0,-3
YouGov/Sun,2013-09-26,33,40,9,11.0,2.0,-7
YouGov/Sun,2013-09-25,32,41,8,11.0,3.0,-9
YouGov/Sun,2013-09-24,34,39,10,10.0,3.0,-5
YouGov/Sun,2013-09-23,32,40,10,12.0,2.0,-8
Populus/,2013-09-22,33,39,14,9.0,2.0,-6
YouGov/Sunday Times,2013-09-20,33,37,11,11.0,3.0,-4
Opinium/Observer,2013-09-19,29,36,7,17.0,4.0,-7
ComRes/Independent on Sunday (O),2013-09-19,28,36,10,17.0,4.0,-8
Populus/,2013-09-19,33,39,11,9.0,3.0,-6
YouGov/Sun,2013-09-19,34,35,11,11.0,3.0,-1
YouGov/Sun,2013-09-18,36,36,10,12.0,2.0,0
YouGov/Sun,2013-09-17,33,37,9,13.0,3.0,-4
YouGov/Sun,2013-09-16,34,37,10,12.0,3.0,-3
TNS BMRB/,2013-09-16,29,39,9,14.0,2.0,-10
Populus/,2013-09-15,33,40,11,9.0,2.0,-7
ICM/Guardian,2013-09-15,32,36,14,9.0,4.0,-4
YouGov/Sunday Times,2013-09-13,33,38,9,12.0,3.0,-5
YouGov/Sun,2013-09-12,34,38,8,13.0,3.0,-4
Populus/,2013-09-12,34,41,10,7.0,3.0,-7
YouGov/Sun,2013-09-11,32,39,10,12.0,2.0,-7
YouGov/Sun,2013-09-10,33,39,9,11.0,3.0,-6
YouGov/Sun,2013-09-09,33,38,8,14.0,3.0,-5
Ipsos-MORI/Evening Standard,2013-09-09,34,37,10,11.0,3.0,-3
Populus/,2013-09-08,34,37,13,9.0,2.0,-3
Opinium/Observer,2013-09-06,30,35,7,17.0,4.0,-5
YouGov/Sunday Times,2013-09-06,34,38,9,12.0,3.0,-4
Populus/,2013-09-05,33,37,14,8.0,3.0,-4
YouGov/Sun,2013-09-05,31,38,10,13.0,2.0,-7
YouGov/Sun,2013-09-04,33,39,10,12.0,2.0,-6
YouGov/Sun,2013-09-03,33,37,9,13.0,3.0,-4
YouGov/Sun,2013-09-02,33,40,9,12.0,2.0,-7
ComRes/Independent,2013-09-01,31,37,12,10.0,4.0,-6
Populus/,2013-09-01,34,38,12,8.0,3.0,-4
YouGov/Sunday Times,2013-08-31,31,41,9,13.0,2.0,-10
Survation/Mail on Sunday,2013-08-30,29,37,11,17.0,2.0,-8
Populus/,2013-08-29,33,39,12,9.0,2.0,-6
YouGov/Sun,2013-08-29,33,37,10,12.0,3.0,-4
YouGov/Sun,2013-08-28,34,37,11,12.0,2.0,-3
YouGov/Sun,2013-08-27,34,39,8,12.0,2.0,-5
Populus/,2013-08-26,33,37,13,10.0,2.0,-4
Opinium/Observer,2013-08-23,29,36,8,18.0,4.0,-7
YouGov/Sunday Times,2013-08-23,32,38,10,13.0,3.0,-6
Populus/,2013-08-22,30,38,12,12.0,3.0,-8
YouGov/Sun,2013-08-22,32,39,11,10.0,2.0,-7
YouGov/Sun,2013-08-21,34,37,9,13.0,3.0,-3
YouGov/Sun,2013-08-20,32,39,10,12.0,3.0,-7
YouGov/Sun,2013-08-19,31,38,10,14.0,3.0,-7
Populus/,2013-08-18,32,38,12,11.0,3.0,-6
YouGov/Sunday Times,2013-08-16,32,38,10,13.0,3.0,-6
ComRes/Independent (O),2013-08-15,28,37,8,19.0,3.0,-9
Populus/,2013-08-15,36,39,10,8.0,2.0,-3
YouGov/Sun,2013-08-15,34,39,9,11.0,2.0,-5
YouGov/Sun,2013-08-14,32,38,11,13.0,2.0,-6
YouGov/Sun,2013-08-13,35,38,10,11.0,2.0,-3
Ipsos-MORI/Evening Standard,2013-08-12,30,40,10,11.0,6.0,-10
YouGov/Sun,2013-08-12,33,40,8,13.0,2.0,-7
Populus/,2013-08-11,33,39,12,10.0,2.0,-6
ICM/Guardian,2013-08-11,32,35,14,10.0,3.0,-3
YouGov/Sunday Times,2013-08-09,33,41,9,10.0,3.0,-8
Opinium/Observer,2013-08-08,29,36,9,17.0,3.0,-7
Populus/,2013-08-08,32,38,12,9.0,3.0,-6
YouGov/Sun,2013-08-08,34,38,9,12.0,2.0,-4
YouGov/Sun,2013-08-07,31,39,11,11.0,4.0,-8
YouGov/Sun,2013-08-06,32,39,10,11.0,2.0,-7
YouGov/Sun,2013-08-05,34,38,11,12.0,2.0,-4
Populus/,2013-08-04,33,38,12,9.0,3.0,-5
Survation/Mail on Sunday,2013-08-02,28,36,11,18.0,1.0,-8
YouGov/Sunday Times,2013-08-02,32,38,10,13.0,2.0,-6
Populus/,2013-08-01,29,40,11,12.0,3.0,-11
YouGov/Sun,2013-08-01,34,40,10,11.0,3.0,-6
YouGov/Sun,2013-07-31,33,38,10,14.0,2.0,-4
YouGov/Sun,2013-07-30,34,40,11,10.0,2.0,-6
YouGov/Sun,2013-07-29,33,40,10,12.0,2.0,-7
Populus/,2013-07-28,34,39,11,8.0,3.0,-5
ComRes/Independent,2013-07-27,34,37,10,12.0,4.0,-3
Opinium/Observer,2013-07-26,28,39,8,16.0,3.0,-11
YouGov/Sunday Times,2013-07-26,33,39,10,11.0,2.0,-6
Populus/,2013-07-25,32,39,11,10.0,3.0,-7
YouGov/Sun,2013-07-25,32,38,11,11.0,3.0,-6
YouGov/Sun,2013-07-24,35,39,8,11.0,3.0,-4
YouGov/Sun,2013-07-23,32,39,11,12.0,2.0,-7
YouGov/Sun,2013-07-22,35,38,11,10.0,2.0,-3
TNS BMRB/,2013-07-22,28,38,9,16.0,2.0,-10
Populus/,2013-07-21,32,39,12,9.0,2.0,-7
YouGov/Sunday Times,2013-07-19,32,39,10,11.0,2.0,-7
Populus/,2013-07-18,31,39,12,10.0,3.0,-8
YouGov/Sun,2013-07-18,33,38,11,11.0,2.0,-5
YouGov/Sun,2013-07-17,31,37,12,13.0,3.0,-6
YouGov/Sun,2013-07-16,32,38,10,12.0,2.0,-6
Ipsos-MORI/Evening Standard,2013-07-15,29,40,10,12.0,4.0,-11
YouGov/Sun,2013-07-15,31,40,11,11.0,2.0,-9
ICM/Guardian,2013-07-14,36,36,13,7.0,3.0,0
Populus/,2013-07-14,31,38,13,10.0,4.0,-7
Survation/Mail on Sunday,2013-07-12,28,36,9,20.0,4.0,-8
Opinium/Observer,2013-07-12,27,38,6,19.0,4.0,-11
YouGov/Sunday Times,2013-07-12,30,41,10,13.0,2.0,-11
ComRes/Independent on Sunday (O),2013-07-11,28,36,8,18.0,4.0,-8
YouGov/Sun,2013-07-11,32,40,10,13.0,2.0,-8
YouGov/Sun,2013-07-10,32,37,11,12.0,3.0,-5
YouGov/Sun,2013-07-09,31,39,10,13.0,3.0,-8
YouGov/Sun,2013-07-08,34,40,10,10.0,2.0,-6
YouGov/Sunday Times,2013-07-05,33,39,11,12.0,2.0,-6
YouGov/Sun,2013-07-04,31,39,11,12.0,2.0,-8
YouGov/Sun,2013-07-03,32,40,9,13.0,2.0,-8
Survation/Daily Mirror,2013-07-03,23,36,10,22.0,4.0,-13
YouGov/Sun,2013-07-02,32,40,9,12.0,3.0,-8
YouGov/Sun,2013-07-01,33,38,8,12.0,2.0,-5
Opinium/Observer,2013-06-28,27,37,7,19.0,3.0,-10
YouGov/Sunday Times,2013-06-28,33,38,11,11.0,2.0,-5
YouGov/Sun,2013-06-27,33,39,10,13.0,3.0,-6
YouGov/Sun,2013-06-26,31,42,11,10.0,3.0,-11
YouGov/Sun,2013-06-25,32,40,11,11.0,2.0,-8
YouGov/Sun,2013-06-24,32,39,9,12.0,3.0,-7
ComRes/Independent,2013-06-23,30,36,10,14.0,5.0,-6
YouGov/Sunday Times,2013-06-21,31,39,10,13.0,3.0,-8
YouGov/Sun,2013-06-20,31,39,11,14.0,2.0,-8
YouGov/Sun,2013-06-19,32,38,10,13.0,2.0,-6
YouGov/Sun,2013-06-18,31,38,10,12.0,2.0,-7
YouGov/Sun,2013-06-17,31,40,10,13.0,2.0,-9
Opinium/Observer,2013-06-14,27,36,7,20.0,3.0,-9
YouGov/Sunday Times,2013-06-14,30,39,10,14.0,2.0,-9
ComRes/Independent on Sunday (O),2013-06-13,26,35,10,19.0,4.0,-9
YouGov/Sun,2013-06-13,32,39,10,12.0,2.0,-7
YouGov/Sun,2013-06-12,30,38,11,12.0,3.0,-8
YouGov/Sun,2013-06-11,30,38,9,16.0,3.0,-8
YouGov/Sun,2013-06-10,28,39,11,15.0,2.0,-11
TNS BMRB/,2013-06-10,27,36,8,19.0,3.0,-9
Ipsos-MORI/Evening Standard,2013-06-10,31,35,10,12.0,4.0,-4
ICM/Guardian,2013-06-09,29,36,12,12.0,2.0,-7
YouGov/Sunday Times,2013-06-07,30,40,9,14.0,2.0,-10
YouGov/Sun,2013-06-06,32,39,10,13.0,3.0,-7
YouGov/Sun,2013-06-05,30,39,10,14.0,3.0,-9
YouGov/Sun,2013-06-04,30,40,10,14.0,2.0,-10
YouGov/Sun,2013-06-03,31,38,10,16.0,2.0,-7
TNS BMRB/,2013-06-03,24,37,10,19.0,3.0,-13
Opinium/Observer,2013-05-31,26,37,6,21.0,4.0,-11
YouGov/Sunday Times,2013-05-31,30,39,10,15.0,2.0,-9
Survation/Sun on Sunday,2013-05-30,25,36,10,20.0,4.0,-11
YouGov/Sun,2013-05-30,30,38,11,14.0,3.0,-8
YouGov/Sun,2013-05-29,30,37,11,14.0,3.0,-7
YouGov/Sun,2013-05-28,29,39,10,15.0,3.0,-10
ComRes/Independent,2013-05-26,30,34,10,17.0,2.0,-4
Survation/Mail on Sunday,2013-05-24,24,35,10,22.0,4.0,-11
YouGov/Sunday Times,2013-05-24,30,40,10,14.0,2.0,-10
YouGov/Sun,2013-05-23,29,42,11,13.0,2.0,-13
YouGov/Sun,2013-05-22,27,38,10,16.0,4.0,-11
YouGov/Sun,2013-05-21,27,38,10,16.0,4.0,-11
YouGov/Sun,2013-05-20,31,39,10,14.0,2.0,-8
Survation/,2013-05-18,24,35,11,22.0,,-11
YouGov/Sunday Times,2013-05-17,29,40,9,14.0,3.0,-11
ComRes/Independent on Sunday (O),2013-05-16,29,35,8,19.0,4.0,-6
TNS BMRB/,2013-05-16,28,37,7,18.0,4.0,-9
Opinium/Observer,2013-05-16,27,37,7,20.0,4.0,-10
YouGov/Sun,2013-05-16,31,39,9,15.0,2.0,-8
YouGov/Sun,2013-05-15,30,40,10,14.0,2.0,-10
YouGov/Sun,2013-05-14,30,40,10,15.0,2.0,-10
YouGov/Sun,2013-05-13,31,38,10,14.0,2.0,-7
Ipsos-MORI/Evening Standard,2013-05-13,31,34,10,13.0,6.0,-3
ICM/Guardian,2013-05-12,28,34,11,18.0,2.0,-6
YouGov/Sunday Times,2013-05-10,30,39,9,16.0,3.0,-9
YouGov/Sun,2013-05-09,30,39,10,14.0,2.0,-9
YouGov/Sun,2013-05-08,27,38,11,17.0,2.0,-11
YouGov/Sun,2013-05-07,29,39,9,16.0,2.0,-10
YouGov/Sunday Times,2013-05-03,30,40,11,12.0,2.0,-10
YouGov/Sun,2013-05-02,32,43,9,10.0,1.0,-11
Opinium/Observer,2013-05-02,28,35,9,17.0,4.0,-7
YouGov/Sun,2013-05-01,33,39,10,13.0,2.0,-6
YouGov/Sun,2013-04-30,30,39,11,14.0,2.0,-9
YouGov/Sun,2013-04-29,30,39,11,14.0,3.0,-9
ComRes/Independent,2013-04-28,32,38,9,13.0,4.0,-6
Survation/Free Speech Network,2013-04-28,29,36,12,16.0,3.0,-7
YouGov/Sunday Times,2013-04-26,31,40,11,11.0,3.0,-9
YouGov/Sun,2013-04-25,32,40,11,12.0,2.0,-8
YouGov/Sun,2013-04-24,31,39,10,11.0,3.0,-8
YouGov/Sun,2013-04-23,33,40,10,12.0,3.0,-7
YouGov/Sun,2013-04-22,32,39,11,13.0,2.0,-7
YouGov/Sunday Times,2013-04-19,32,40,11,10.0,2.0,-8
Opinium/Observer,2013-04-18,29,35,8,17.0,4.0,-6
YouGov/Sun,2013-04-18,33,40,10,11.0,2.0,-7
YouGov/Sun,2013-04-17,30,41,10,12.0,2.0,-11
YouGov/Sun,2013-04-16,33,40,10,11.0,2.0,-7
YouGov/Sun,2013-04-15,31,39,12,12.0,2.0,-8
Ipsos-MORI/Evening Standard,2013-04-15,29,38,10,15.0,4.0,-9
ICM/Guardian,2013-04-14,32,38,15,9.0,2.0,-6
Angus Reid/,2013-04-13,27,39,8,16.0,3.0,-12
YouGov/Sunday Times,2013-04-12,31,42,12,11.0,2.0,-11
ComRes/Independent on Sunday (O),2013-04-11,30,38,8,15.0,3.0,-8
YouGov/Sun,2013-04-11,32,42,9,11.0,2.0,-10
YouGov/Sun,2013-04-10,28,42,12,11.0,2.0,-14
YouGov/Sun,2013-04-09,33,41,10,10.0,2.0,-8
YouGov/Sun,2013-04-08,30,40,12,12.0,2.0,-10
